Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"29-May, 2018",6:00 AM,47.63,0.14,6,5,29,2,22,0.6052773290253097,0.17283950617283952,0.2608695652173913,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",7:00 AM,50.5,0.29,7,5,29,2,22,0.6193273608459393,0.35802469135802467,0.30434782608695654,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",8:00 AM,51.27,0.43,8,5,29,2,22,0.6230968815783033,0.5308641975308641,0.34782608695652173,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",9:00 AM,50.91,0.55,9,5,29,2,22,0.6213345082488864,0.6790123456790124,0.3913043478260869,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",10:00 AM,49.93,0.62,10,5,29,2,22,0.6165369364076958,0.7654320987654321,0.43478260869565216,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",11:00 AM,48.3,0.65,11,5,29,2,22,0.6085573016106135,0.8024691358024691,0.4782608695652174,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",12:00 PM,45.95,0.64,12,5,29,2,22,0.5970529201546974,0.7901234567901234,0.5217391304347826,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",1:00 PM,47.01,0.6,13,5,29,2,22,0.6022421305135361,0.7407407407407407,0.5652173913043478,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",2:00 PM,47.35,0.52,14,5,29,2,22,0.603906594213541,0.6419753086419753,0.6086956521739131,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",3:00 PM,48.81,0.41,15,5,29,2,22,0.6110539971606208,0.5061728395061728,0.6521739130434783,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",4:00 PM,49.95,0.28,16,5,29,2,22,0.6166348460371078,0.34567901234567905,0.6956521739130435,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",5:00 PM,52.01,0.15,17,5,29,2,22,0.6267195378665493,0.18518518518518517,0.7391304347826086,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",6:00 PM,51.46,0.06,18,5,29,2,22,0.6240270230577178,0.07407407407407407,0.7826086956521738,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",7:00 PM,53.34,0.01,19,5,29,2,22,0.6332305282224509,0.012345679012345678,0.8260869565217391,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",8:00 PM,49.98,0.0,20,5,29,2,22,0.6167817104812259,0.0,0.8695652173913043,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",9:00 PM,47.07,0.0,21,5,29,2,22,0.6025358594017722,0.0,0.9130434782608695,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",10:00 PM,44.22,0.0,22,5,29,2,22,0.5885837372105547,0.0,0.9565217391304348,0.36363636363636365,0.9333333333333333,0.16666666666666666
"29-May, 2018",11:00 PM,37.51,0.0,23,5,29,2,22,0.5557350565428111,0.0,1.0,0.36363636363636365,0.9333333333333333,0.16666666666666666
"30-May, 2018",12:00 AM,35.29,0.0,0,5,30,3,22,0.5448670876780732,0.0,0.0,0.36363636363636365,0.9666666666666667,0.33333333333333337
"30-May, 2018",1:00 AM,33.9,0.0,1,5,30,3,22,0.5380623684339356,0.0,0.043478260869565216,0.36363636363636365,0.9666666666666667,0.33333333333333337
